,Datum,Standort,Standortname,WGS84_lat,WGS84_lng,RainDur,StrGlo,T,T_max_h1,p
0,2023-01-01,Zch_Rosengartenstrasse,Zürich Rosengartenstrasse,47.3952,8.5261,0.0,,12.23,15.38,972.02
1,2023-01-01,Zch_Schimmelstrasse,Zürich Schimmelstrasse,47.371,8.5235,0.0,,12.18,15.43,974.46
2,2023-01-01,Zch_Stampfenbachstrasse,Zürich Stampfenbachstrasse,47.3868,8.5398,0.0,59.78,12.34,14.91,971.92
3,2023-01-02,Zch_Rosengartenstrasse,Zürich Rosengartenstrasse,47.3952,8.5261,96.61,,9.63,13.56,972.32
4,2023-01-02,Zch_Schimmelstrasse,Zürich Schimmelstrasse,47.371,8.5235,81.65,,10.05,14.86,974.7
5,2023-01-02,Zch_Stampfenbachstrasse,Zürich Stampfenbachstrasse,47.3868,8.5398,116.08,35.98,10.41,13.96,972.13
6,2023-01-03,Zch_Rosengartenstrasse,Zürich Rosengartenstrasse,47.3952,8.5261,390.57,,8.01,8.68,978.91
7,2023-01-03,Zch_Schimmelstrasse,Zürich Schimmelstrasse,47.371,8.5235,432.02,,8.09,8.94,981.35
8,2023-01-03,Zch_Stampfenbachstrasse,Zürich Stampfenbachstrasse,47.3868,8.5398,607.52,16.6,8.65,9.46,978.58
9,2023-01-04,Zch_Rosengartenstrasse,Zürich Rosengartenstrasse,47.3952,8.5261,4.95,,8.31,10.94,978.3
10,2023-01-04,Zch_Schimmelstrasse,Zürich Schimmelstrasse,47.371,8.5235,10.72,,8.48,11.58,980.77
11,2023-01-04,Zch_Stampfenbachstrasse,Zürich Stampfenbachstrasse,47.3868,8.5398,21.1,22.16,8.61,11.13,978.03
12,2023-01-05,Zch_Rosengartenstrasse,Zürich Rosengartenstrasse,47.3952,8.5261,72.58,,10.55,12.14,975.05
13,2023-01-05,Zch_Schimmelstrasse,Zürich Schimmelstrasse,47.371,8.5235,42.15,,10.8,12.1,977.43
14,2023-01-05,Zch_Stampfenbachstrasse,Zürich Stampfenbachstrasse,47.3868,8.5398,94.65,41.33,10.95,12.21,974.89
15,2023-01-06,Zch_Rosengartenstrasse,Zürich Rosengartenstrasse,47.3952,8.5261,0.0,,7.73,9.51,973.3
16,2023-01-06,Zch_Schimmelstrasse,Zürich Schimmelstrasse,47.371,8.5235,0.0,,7.71,9.55,975.7
17,2023-01-06,Zch_Stampfenbachstrasse,Zürich Stampfenbachstrasse,47.3868,8.5398,0.0,19.15,8.17,9.44,973.08
18,2023-01-07,Zch_Rosengartenstrasse,Zürich Rosengartenstrasse,47.3952,8.5261,0.0,,7.42,9.16,967.34
19,2023-01-07,Zch_Schimmelstrasse,Zürich Schimmelstrasse,47.371,8.5235,0.0,,7.44,8.84,969.72
20,2023-01-07,Zch_Stampfenbachstrasse,Zürich Stampfenbachstrasse,47.3868,8.5398,0.0,57.09,7.68,8.94,967.07
21,2023-01-08,Zch_Rosengartenstrasse,Zürich Rosengartenstrasse,47.3952,8.5261,352.4,,6.59,7.37,958.15
22,2023-01-08,Zch_Schimmelstrasse,Zürich Schimmelstrasse,47.371,8.5235,407.67,,6.73,7.49,960.48
23,2023-01-08,Zch_Stampfenbachstrasse,Zürich Stampfenbachstrasse,47.3868,8.5398,517.72,11.19,7.14,7.99,957.88
24,2023-01-09,Zch_Rosengartenstrasse,Zürich Rosengartenstrasse,47.3952,8.5261,475.25,,5.54,7.34,957.63
25,2023-01-09,Zch_Schimmelstrasse,Zürich Schimmelstrasse,47.371,8.5235,456.72,,5.85,7.9,960.01
26,2023-01-09,Zch_Stampfenbachstrasse,Zürich Stampfenbachstrasse,47.3868,8.5398,580.07,33.19,5.97,8.07,957.39
27,2023-01-10,Zch_Rosengartenstrasse,Zürich Rosengartenstrasse,47.3952,8.5261,30.58,,5.26,6.98,971.62
28,2023-01-10,Zch_Schimmelstrasse,Zürich Schimmelstrasse,47.371,8.5235,8.58,,5.33,7.05,973.94
29,2023-01-10,Zch_Stampfenbachstrasse,Zürich Stampfenbachstrasse,47.3868,8.5398,53.45,54.36,5.34,6.81,971.35
30,2023-01-11,Zch_Rosengartenstrasse,Zürich Rosengartenstrasse,47.3952,8.5261,225.67,,6.71,7.91,969.92
31,2023-01-11,Zch_Schimmelstrasse,Zürich Schimmelstrasse,47.371,8.5235,220.45,,7.34,8.9,972.22
32,2023-01-11,Zch_Stampfenbachstrasse,Zürich Stampfenbachstrasse,47.3868,8.5398,310.68,11.73,7.05,8.58,969.64
33,2023-01-12,Zch_Rosengartenstrasse,Zürich Rosengartenstrasse,47.3952,8.5261,0.0,,7.63,9.19,970.94
34,2023-01-12,Zch_Schimmelstrasse,Zürich Schimmelstrasse,47.371,8.5235,0.0,,8.22,9.5,973.34
35,2023-01-12,Zch_Stampfenbachstrasse,Zürich Stampfenbachstrasse,47.3868,8.5398,0.0,33.29,7.84,9.08,970.73
36,2023-01-13,Zch_Rosengartenstrasse,Zürich Rosengartenstrasse,47.3952,8.5261,271.5,,7.89,8.84,968.05
37,2023-01-13,Zch_Schimmelstrasse,Zürich Schimmelstrasse,47.371,8.5235,208.63,,8.33,9.53,970.41
38,2023-01-13,Zch_Stampfenbachstrasse,Zürich Stampfenbachstrasse,47.3868,8.5398,337.88,37.94,8.14,9.19,967.84
39,2023-01-14,Zch_Rosengartenstrasse,Zürich Rosengartenstrasse,47.3952,8.5261,62.42,,7.5,10.28,967.43
40,2023-01-14,Zch_Schimmelstrasse,Zürich Schimmelstrasse,47.371,8.5235,66.18,,7.86,10.95,969.78
41,2023-01-14,Zch_Stampfenbachstrasse,Zürich Stampfenbachstrasse,47.3868,8.5398,128.18,41.98,7.74,10.45,967.2
